Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Like_Rate,Share_Rate,Comment_Rate,dominant_engagement_type
TikTok,#Challenge,Video,UK,4163464.0,339431.0,53135.0,19346.0,High,0.0815261042247513,0.0127622095447444,0.0046466115715183,Likes
Instagram,#Education,Shorts,India,4155940.0,215240.0,65860.0,27239.0,Medium,0.0517909305716636,0.0158471970240186,0.0065542332179964,Likes
Twitter,#Challenge,Video,Brazil,3666211.0,327143.0,39423.0,36223.0,Medium,0.0892319072742949,0.0107530635852655,0.0098802278428601,Likes
YouTube,#Education,Shorts,Australia,917951.0,127125.0,11687.0,36806.0,Low,0.1384877842063465,0.0127316163934676,0.0400958221081517,Likes
Instagram,#Challenge,Shorts,Australia,1323566.0,136282.0,86979.0,47129.0,Low,0.1029657757905537,0.0657156499940312,0.0356075934256395,Likes
YouTube,#Gaming,Shorts,UK,2066886.0,317502.0,45222.0,33638.0,High,0.1536136971269823,0.0218792908752587,0.0162747243921532,Likes
Twitter,#Education,Live Stream,India,2169523.0,496078.0,96041.0,30174.0,Medium,0.228657635802893,0.0442682562019393,0.0139081263485107,Likes
TikTok,#Gaming,Shorts,India,3898384.0,8634.0,69378.0,42700.0,Low,0.002214763861128,0.0177966049522058,0.0109532565288591,Shares
Instagram,#Comedy,Live Stream,Germany,4070332.0,379894.0,46012.0,25242.0,High,0.0933324357816512,0.0113042375904471,0.0062014597335057,Likes
Twitter,#Music,Reel,Australia,4585669.0,465871.0,69083.0,8999.0,Medium,0.1015928101221435,0.0150649774329547,0.0019624181335373,Likes
YouTube,#Viral,Shorts,Canada,4105651.0,195560.0,37627.0,49089.0,High,0.0476319102622215,0.0091646854542677,0.0119564473453783,Likes
YouTube,#Fitness,Reel,Japan,1633015.0,312907.0,45774.0,30725.0,High,0.1916130592799209,0.0280303610193415,0.0188148914737464,Likes
Twitter,#Comedy,Post,Germany,2471790.0,370802.0,54110.0,17081.0,High,0.1500135529312765,0.0218910182499322,0.0069103766905764,Likes
YouTube,#Gaming,Live Stream,Canada,3079923.0,124237.0,44062.0,26702.0,Medium,0.0403376967541071,0.0143062018108894,0.008669697261912,Likes
TikTok,#Tech,Shorts,UK,2051091.0,24472.0,54704.0,41737.0,Medium,0.0119312112431871,0.0266706840408348,0.0203486827254373,Shares
