Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Like_Rate,Share_Rate,Comment_Rate,dominant_engagement_type
TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,0.08152610422475132,0.012762209544744472,0.004646611571518332,Likes
Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,0.051790930571663694,0.015847197024018635,0.00655423321799641,Likes
Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,0.0892319072742949,0.010753063585265552,0.009880227842860108,Likes
YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,0.13848778420634653,0.012731616393467626,0.04009582210815174,Likes
TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,Medium,2.641769185705917,1.0726883112878858,0.09829494650510283,Likes
Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,0.1029657757905537,0.06571564999403127,0.035607593425639524,Likes
YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,0.13411443594326192,0.156198733166144,0.052050832784627084,Shares
YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,0.15361369712698233,0.021879290875258722,0.01627472439215322,Likes
Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,0.22865763580289308,0.04426825620193932,0.01390812634851071,Likes
TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,0.0022147638611280983,0.017796604952205836,0.010953256528859137,Shares
Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,0.09333243578165122,0.011304237590447167,0.006201459733505768,Likes
Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,0.10159281012214358,0.015064977432954712,0.001962418133537331,Likes
YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,0.04763191026222151,0.009164685454267789,0.011956447345378358,Likes
YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,0.1916130592799209,0.028030361019341525,0.018814891473746414,Likes
Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,0.15001355293127652,0.021891018249932236,0.006910376690576465,Likes
YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,0.040337696754107165,0.014306201810889428,0.008669697261912067,Likes
Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low,0.722833791162207,0.06901685488520365,0.07042764608132397,Likes
TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,0.011931211243187162,0.026670684040834853,0.020348682725437342,Shares
TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,0.04776874996027337,0.014468295834279549,0.0056354036832802,Likes
YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low,0.09500364511700635,0.026947147711846184,0.011820230208541406,Likes
Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,Low,19.035828307910606,6.420361830436325,1.2038311457963817,Likes
TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,0.009014357841670815,0.01855873220049098,0.0010062669356840246,Shares
YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,0.3729621218942054,0.03756631753050356,0.01757018570575858,Likes
Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,0.10321670015794482,0.014557175084691973,0.006489437110171963,Likes
YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,0.648877909806259,0.13448814204393214,0.004995269941434766,Likes
YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,0.040173991521568524,0.010836899951820614,0.0030333056800766634,Likes
Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,0.04858442848445732,0.004866728004284478,0.0041590566823672655,Likes
YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,0.1721055442247459,0.019030247482310688,0.026017412161625064,Likes
Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,0.05552670131996539,0.04678013939115077,0.001706867435714342,Likes
YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,0.06647691361609812,0.0007168053159324234,0.0010911156283630275,Likes
Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,0.11435098908582329,0.06218993816154153,0.013402360039687915,Likes
